geocode,regrowth_2001_2016,agr_pers,veg_pers,nreg_agr,nreg_veg,population2016,pop_g,lpw2016,lpw_g,Std_temp,precip,clay,ph,embargos_def,roads_km,silos_ton,lat,long,FNP,UF
2926400,50065.28,87147.1900,171199.0900,0.2464,0.1427,36246,0.017438462,3179.160714,-0.006378571,0.622285773,685.74125,31.57,57.45,6,0,0,-13.896193,-43.40416,101,29
2928109,37067.9,51624.2400,116551.6300,0.2428,0.1243,41824,0.001923077,2507.574375,0.149453333,0.524645515,880.98875,30.82,55.62,1,37.268,2000,-13.21835,-44.379979,82,29
2928208,28769.67,56862.1100,98702.2000,0.1793,0.1118,27381,0.009253846,501.8675,0.25012,0.561999036,816.493125,29.21,55.8,0,59.642,0,-13.065657,-43.942383,133,29
2928406,64149.06,28526.5700,506433.5000,0.3543,0.0300,28988,0.0124,2746.0925,0.162286667,0.523927476,900.494375,29.91,55.52,3,62.466,0,-11.007987,-44.555833,82,29
2928901,67095.85,363562.7200,835031.4500,0.0323,0.0143,33168,0.031584615,7356.96875,0.16908,0.471854497,1067.95125,30.26,55.39,6,196.605,829536,-12.804393,-45.490189,82,29
2929057,33631.86,38924.1100,96154.0700,0.2912,0.1426,15738,0.019607692,2575.325625,0.151946667,0.569606589,777.7075,31.71,56.47,1,36.231,731,-13.551946,-44.029673,82,29
2930006,25735.46,85920.0300,82682.2800,0.1339,0.1385,11615,0.014676923,1049.83625,0.13544,0.629389916,744.425625,28.61,57.5,3,0,0,-14.578822,-43.233531,81,29
2930154,43572.09,114288.1500,71209.5500,0.1646,0.2402,33034,0.001823077,2616.420625,0.15406,0.584881398,709.28125,32.66,57.73,2,17.344,4676,-13.484295,-43.676195,82,29
2930303,21895.14,80677.5200,49881.9300,0.1032,0.1569,18467,0.001976923,2468.361875,0.14678,0.555277333,713.951875,29.17,56.44,1,8.697,0,-12.806269,-43.797591,82,29
2930758,16753.53,60801.3900,61654.4800,0.0849,0.0838,14001,0.0142,2495.24125,0.1476,0.559359381,654.8675,27.27,56.88,2,21.38,0,-12.855222,-43.474997,82,29
2930907,10497.38,21092.7700,107786.3600,0.1501,0.0334,13604,0.009192308,2543.088125,0.144033333,0.492163591,983.919375,29.89,54.89,0,0,0,-12.479855,-44.155648,82,29
2932606,14329.21,44183.7800,31276.3800,0.1567,0.2079,17329,0.005061538,1049.83625,0.13544,0.572735759,525.308125,32.94,56.15,0,24.315,0,-14.746559,-42.662304,81,29
2933455,34435.86,61529.8100,176339.1000,0.1621,0.0632,13675,-0.000330769,2623.476875,0.155746667,0.531662487,710.740625,29.52,57.01,0,5.84,0,-11.808922,-43.906735,82,29
2933604,81397.01,91978.0200,326771.4400,0.2612,0.0905,48316,0.007461538,611.814375,0.163053333,0.429782406,540.56625,24.79,60.99,0,7.939,0,-11.010168,-43.000922,84,29
3100104,12973.24,52792.9200,21330.8300,0.0812,0.1794,7037,0.005230769,7207.131875,0.143446667,0.375485796,1317.031875,40,53.25,0,46.47,0,-18.353781,-47.457104,44,31
3100203,32101.92,95139.2300,51223.0900,0.1233,0.2072,23595,0.005123077,4617.96125,0.225706667,0.528973849,1257.375625,35.54,52.89,0,44.124,0,-19.102749,-45.358675,45,31
3100708,3450.85,37944.1300,4088.3300,0.0198,0.1578,2302,-0.0007,9936.67375,0.133933333,0.315023147,1463.338125,44.02,58.57,0,0,2710,-20.005459,-48.084198,44,31
3100807,1936.99,17481.4300,2594.3600,0.0532,0.2746,4406,0.013692308,5538.129375,0.153753333,0.414092884,1255.425625,37.63,52.28,0,10.703,0,-20.964482,-45.475981,42,31
3101904,5806.14,33334.2200,7335.8700,0.0820,0.2888,19741,0.010684615,5622.284375,0.152533333,0.414993976,1320.925625,41.64,52.67,0,9.975,18468,-20.805813,-46.374629,42,31
3102852,4793.71,6460.6000,8671.0600,0.2193,0.1731,9457,0.013946154,3778.356875,0.137473333,0.536817396,930.65125,41.41,51.26,1,0,0,-17.681773,-42.306195,47,31
3103207,3812.83,11030.1300,4382.4300,0.1615,0.3264,2524,0.007830769,3867,0.155146667,0.589310331,1069.73125,39.1,52.47,0,0,0,-19.234842,-44.218444,46,31
3103504,32460.31,167982.9000,59734.3900,0.0844,0.2058,116871,0.009715385,7918.640625,0.13852,0.322376591,1237.86875,41.17,54.13,1,36.502,1338286,-18.564245,-48.149323,44,31
3103801,2762.62,11975.1500,3303.8200,0.0641,0.1989,2879,0.000938462,4658.405625,0.226526667,0.435331291,1222.166875,46.33,51.63,0,24.293,590,-19.041452,-46.11529,45,31
3103900,3254.28,17331.8900,4241.9600,0.0812,0.2654,8885,0.020923077,3869.77125,0.15462,0.54967263,1247.698125,37.36,52.43,0,4.937,0,-19.886413,-45.180967,46,31
3104007,21932.76,72033.8000,25371.3500,0.1319,0.3014,103287,0.016576923,5821.705,0.227053333,0.366132945,1310.655625,43.31,52.21,0,97.755,32600,-19.636397,-46.972146,45,31
3104106,956.04,13655.0000,1584.6700,0.0317,0.2201,10478,0.015884615,5980.941875,0.145146667,0.378826587,1630.935625,41.34,54.05,0,5.283,0,-21.358328,-46.967831,42,31
3104205,7655.19,32457.5700,10797.7100,0.1198,0.2904,39537,0.013323077,3888.97625,0.154106667,0.483912871,1277.45625,41.18,54.07,0,23.62,25758,-20.250864,-45.586456,46,31
3104502,80814.61,94571.3300,341559.3100,0.1536,0.0478,18232,0.003046154,3655.1,0.212353333,0.527923211,1114.64125,30.61,54.75,3,112.817,4630,-15.750686,-45.988575,48,31
3104809,15507.79,54962.2600,56202.0400,0.0694,0.0680,5085,-0.002707692,3867.05125,0.155153333,0.635609943,1032.275,35.14,56.69,0,30.104,0,-18.10884,-44.198057,46,31
3105004,10611.75,26832.5000,19320.4600,0.1363,0.1798,8582,0.000423077,3867.218125,0.155153333,0.588975099,846.478125,39.17,52.19,1,0,0,-19.262936,-43.863416,46,31
3105103,24519.65,105491.0400,22323.5400,0.0994,0.3428,23936,0.006815385,3923.068125,0.15462,0.432473506,1464.93,41.93,52.17,0,29.143,22526,-20.110955,-45.998876,46,31
3105400,4401.79,8274.5800,21879.0400,0.1470,0.0612,31628,0.018584615,3187.695625,0.133906667,0.387709083,1198.2725,42.19,50.54,0,3.159,0,-19.799108,-43.465644,43,31
3106200,1163.79,2880.0700,2628.5200,0.0992,0.1076,2513451,0.008823077,3867,0.155146667,0.493436504,1028.313125,36.15,57.49,5,0.886,20600,-19.825517,-43.952526,46,31
3106507,14728.11,27593.4200,21086.2900,0.0585,0.0753,13717,-0.001246154,3778.368125,0.137473333,0.552436648,831.736875,37.5,54.72,0,22.135,0,-16.862376,-42.494289,47,31
3106705,3267.42,14408.0300,8670.5800,0.0681,0.1083,441748,0.024961538,3867,0.155146667,0.478291665,1215.80625,44.07,51.11,1,0,0,-19.870049,-44.207028,46,31
