geocode,lat,long,drop_4balance
2105005,-2.7284865,-43.55886,0
2105104,-2.7206975,-43.799613,0
2105203,-4.5859197,-44.819564,0
2105302,-5.3948642,-47.545671,0
2105351,-5.1846825,-45.67054,0
2105401,-3.4204361,-44.273248,0
2105450,-5.8522221,-44.294206,0
2105476,-5.391206,-45.575801,0
2105500,-5.3800652,-47.373627,0
2105609,-5.0159848,-44.75542,0
2105708,-4.7770729,-45.219286,0
2105807,-4.5512768,-44.989669,0
2105922,-6.0352362,-43.508524,0
2105948,-4.5886048,-44.930918,0
2105963,-4.9297099,-45.403033,0
2105989,-6.1038973,-46.924584,0
2106003,-4.5568964,-44.464742,0
2106102,-7.2206588,-45.219808,0
2106300,-3.2833261,-42.186071,0
2106359,-4.7196686,-45.516654,0
2106409,-3.6259001,-43.227349,0
2106607,-5.3791367,-43.318179,0
2106631,-3.7566784,-44.4778,0
2106672,-3.4965008,-42.795205,0
2106706,-6.4539884,-44.951086,0
2106755,-3.5403245,-44.496061,0
2107001,-5.8581256,-47.041394,0
2107100,-2.9822589,-43.76234,0
2107209,-3.4290567,-43.81303,0
2107258,-7.1443115,-46.26452,0
2107308,-6.7496077,-44.039774,0
2107704,-6.4037871,-43.923991,0
2107803,-5.6202336,-43.509314,0
2107902,-6.152674,-43.758373,0
2108009,-6.6322294,-44.180666,0
2108058,-2.8547998,-42.611054,0
2108108,-4.565518,-45.490995,0
2108207,-4.6182469,-44.581327,0
2108454,-4.4198447,-44.281182,0
2108801,-3.7828609,-44.172594,0
2108900,-4.7868291,-44.911837,0
2109007,-6.3688676,-47.180172,0
2109106,-5.2830754,-44.457093,0
2109304,-3.3479403,-43.953518,0
2109403,-2.7155155,-43.361211,0
2109502,-7.5977567,-46.652319,0
2109551,-5.9611546,-47.313645,0
2109700,-7.4318334,-45.556269,0
2109759,-5.5189726,-44.618508,0
2110104,-3.3422177,-42.886319,0
2110203,-3.2552724,-44.193449,0
2110237,-3.1972227,-42.614702,0
2110278,-2.623836,-43.184224,0
